ground_truth;source;similarity
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;0.9714
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
Apple;Asus;1.0
